iter	Logloss
0	0.6692420894
1	0.6504507063
2	0.6354874102
3	0.6228494969
4	0.6132929814
5	0.6069004821
6	0.60062574
7	0.5952792937
8	0.5904363939
9	0.5870667172
10	0.5842815548
11	0.5826194347
12	0.5803744231
13	0.578585496
14	0.5765413527
15	0.5749044714
16	0.5738899346
17	0.5731406783
18	0.5722093286
19	0.5714297698
20	0.5711200926
21	0.5699689233
22	0.5690453472
23	0.5689321168
24	0.5681923659
25	0.5674544177
26	0.5667197511
27	0.5659565802
28	0.5654968996
29	0.5650721515
30	0.5644907432
31	0.563925092
32	0.5635734924
33	0.5629552276
34	0.562072297
35	0.5615716332
36	0.5608985036
37	0.5604987988
38	0.5604955592
39	0.5603165225
40	0.5599935192
41	0.5595448065
42	0.5595404158
43	0.5594180111
44	0.5593899591
45	0.5589100119
46	0.5588096598
47	0.5585657324
48	0.5585013161
49	0.5582374207
50	0.5581943507
51	0.558081073
52	0.557918954
53	0.557623863
54	0.5575172141
55	0.5571160687
56	0.5570066613
57	0.5562481583
58	0.556190317
59	0.556030076
60	0.556026587
61	0.555938373
62	0.5558766708
63	0.55575639
64	0.5556712506
65	0.5555536796
66	0.5555402787
67	0.5553418062
68	0.5553416783
69	0.5552486399
70	0.5548256337
71	0.5547207629
72	0.554429144
73	0.554399799
74	0.5542396605
75	0.5539738015
76	0.5539345954
77	0.5539289436
78	0.5538579905
79	0.5537726005
80	0.5536020559
81	0.5534646142
82	0.5534188507
83	0.5533020091
84	0.5531877863
85	0.5526161877
86	0.5525201502
87	0.5522638055
88	0.5522446742
89	0.5522426569
90	0.5521562514
91	0.5521279034
92	0.5520702651
93	0.5518583681
94	0.5516478199
95	0.551604807
96	0.5514355043
97	0.5512681237
98	0.5511995499
99	0.5510446067
100	0.550923188
101	0.550818808
102	0.5507929076
103	0.5505904187
104	0.5505558989
105	0.55047672
106	0.5498282351
107	0.5498115514
108	0.5497903915
109	0.5496033666
110	0.5495393787
111	0.5494534699
112	0.5493925289
113	0.5491704186
114	0.5491155555
115	0.5489860793
116	0.5488130121
117	0.5487425093
118	0.5485587723
119	0.5484089457
120	0.5481979563
121	0.5481798979
122	0.5481264454
123	0.5479944273
124	0.5476756431
125	0.547533289
126	0.5473300658
127	0.5472369998
128	0.5471819369
129	0.5468783101
130	0.5468388329
131	0.5468132137
132	0.5467727722
133	0.5465611386
134	0.5464158776
135	0.5463397191
136	0.5458792615
137	0.5457720105
138	0.5457338918
139	0.5456243326
140	0.5455440453
141	0.5454127144
142	0.5453832799
143	0.5453445045
144	0.5452253439
145	0.5448488461
146	0.5447276472
147	0.5446287649
148	0.5444974451
149	0.5443684633
150	0.5443402612
151	0.5440799145
152	0.5439509947
153	0.5437637334
154	0.5436471188
155	0.5435136174
156	0.5434250179
157	0.5431312115
158	0.5429970702
159	0.5429823
160	0.5428154204
161	0.5427419404
162	0.5427237569
163	0.542449113
164	0.5423627715
165	0.5423204222
166	0.5422667889
167	0.5421620848
168	0.5420609865
169	0.5420386568
170	0.5418954371
171	0.5415930433
172	0.5415206826
173	0.5414293682
174	0.5413582854
175	0.5413461538
176	0.5412615149
177	0.5410564863
178	0.5408861821
179	0.5407134723
180	0.5406008813
181	0.5405238822
182	0.5404374596
183	0.540372628
184	0.5402113338
185	0.5401202758
186	0.5399496388
187	0.5398260452
188	0.5397688608
189	0.5397026272
190	0.5396002077
191	0.5395202465
192	0.5394191745
193	0.5392853979
194	0.5391314693
195	0.5389694026
196	0.5389328957
197	0.5388738387
198	0.5387413622
199	0.5385905377
200	0.5385082825
201	0.5384439184
202	0.5384139927
203	0.5382587314
204	0.5380917048
205	0.5380516479
206	0.5379992455
207	0.5379229616
208	0.5378701142
209	0.5378237033
210	0.5376523298
211	0.5374995349
212	0.5373879156
213	0.5372822369
214	0.537186656
215	0.5371424011
216	0.5370614035
217	0.5369292497
218	0.5368053177
219	0.5367260712
220	0.5366583158
221	0.536554326
222	0.5365364479
223	0.536521372
224	0.5364677518
225	0.5364218361
226	0.5362910774
227	0.5361902172
228	0.5360787463
229	0.5359972694
230	0.5358929473
231	0.535839096
232	0.5356489294
233	0.5355599803
234	0.5354689124
235	0.5353637582
236	0.5352024903
237	0.5350354028
238	0.5349437927
239	0.5349304578
240	0.5348319764
241	0.5347105656
242	0.5346432147
243	0.534543047
244	0.5343530614
245	0.534151791
246	0.5339483512
247	0.5338650716
248	0.5338262648
249	0.5335497377
250	0.5335336401
251	0.5334248563
252	0.5333911849
253	0.5332153838
254	0.5331187939
255	0.5329777975
256	0.5329344321
257	0.5327312807
258	0.5324936948
259	0.5324510479
260	0.53237605
261	0.5322355197
262	0.532150379
263	0.5320398232
264	0.5319409957
265	0.531843782
266	0.5316297153
267	0.5313394899
268	0.5312471329
269	0.5311713619
270	0.5310807242
271	0.5309863196
272	0.5309157967
273	0.5308319416
274	0.5307923443
275	0.5307662052
276	0.5306620753
277	0.5304682645
278	0.5302272718
279	0.5301234745
280	0.53010708
281	0.5300563134
282	0.5300493165
283	0.5300014286
284	0.5299395017
285	0.5298604828
286	0.5298072005
287	0.5297182983
288	0.5296958193
289	0.5296195291
290	0.529525374
291	0.5294482362
292	0.5292043632
293	0.5291701404
294	0.5290309303
295	0.5289818976
296	0.5289700144
297	0.5289036145
298	0.5288155216
299	0.5286458142
