iter	Passed	Remaining
0	7	2096
1	11	1728
2	15	1566
3	20	1536
4	24	1454
5	30	1495
6	36	1538
7	40	1485
8	44	1423
9	49	1446
10	57	1503
11	64	1541
12	67	1479
13	73	1509
14	80	1535
15	89	1580
16	95	1583
17	99	1555
18	106	1576
19	112	1578
20	118	1578
21	125	1589
22	132	1592
23	138	1595
24	145	1600
25	152	1605
26	160	1620
27	167	1625
28	174	1634
29	180	1628
30	187	1627
31	191	1602
32	195	1579
33	202	1580
34	210	1594
35	216	1587
36	222	1582
37	230	1587
38	236	1583
39	242	1573
40	249	1572
41	253	1557
42	258	1545
43	264	1539
44	271	1539
45	277	1532
46	285	1536
47	292	1535
48	298	1528
49	305	1527
50	311	1521
51	316	1511
52	323	1506
53	327	1494
54	333	1485
55	339	1479
56	345	1472
57	351	1465
58	358	1464
59	365	1461
60	372	1458
61	379	1454
62	385	1449
63	391	1442
64	397	1438
65	404	1435
66	410	1427
67	417	1424
68	424	1419
69	429	1409
70	434	1402
71	440	1396
72	445	1386
73	452	1382
74	458	1376
75	465	1371
76	471	1366
77	477	1358
78	483	1351
79	490	1349
80	497	1344
81	503	1338
82	507	1327
83	513	1319
84	518	1311
85	521	1296
86	527	1291
87	533	1285
88	539	1277
89	544	1271
90	550	1264
91	556	1257
92	563	1253
93	569	1247
94	575	1242
95	581	1236
96	588	1230
97	593	1224
98	599	1217
99	605	1211
100	610	1202
101	615	1194
102	621	1188
103	627	1183
104	634	1178
105	640	1172
106	646	1166
107	652	1159
108	658	1153
109	664	1147
110	671	1142
111	676	1135
112	683	1131
113	690	1126
114	696	1120
115	700	1111
116	706	1104
117	712	1099
118	717	1091
119	723	1085
120	730	1080
121	736	1074
122	742	1068
123	749	1064
124	755	1057
125	762	1053
126	769	1047
127	774	1040
128	779	1033
129	785	1026
130	791	1020
131	797	1015
132	805	1010
133	811	1004
134	816	998
135	823	992
136	829	987
137	835	980
138	841	975
139	846	967
140	852	961
141	858	955
142	864	949
143	870	943
144	876	936
145	882	930
146	888	924
147	894	918
148	901	913
149	908	908
150	915	903
151	921	896
152	929	892
153	935	886
154	942	881
155	947	875
156	955	869
157	961	864
158	968	858
159	975	853
160	983	848
161	990	843
162	996	837
163	1003	832
164	1009	826
165	1017	821
166	1023	815
167	1028	808
168	1035	802
169	1041	796
170	1048	790
171	1055	785
172	1061	779
173	1067	773
174	1074	767
175	1082	762
176	1089	757
177	1096	751
178	1102	745
179	1107	738
180	1115	733
181	1121	727
182	1128	721
183	1134	715
184	1142	709
185	1149	704
186	1157	699
187	1164	693
188	1171	687
189	1178	682
190	1185	676
191	1191	670
192	1199	665
193	1207	659
194	1213	653
195	1219	646
196	1225	640
197	1232	635
198	1242	630
199	1249	624
200	1257	619
201	1264	613
202	1272	608
203	1281	603
204	1288	597
205	1295	591
206	1303	585
207	1311	580
208	1320	575
209	1328	569
210	1335	563
211	1341	557
212	1348	550
213	1355	544
214	1361	538
215	1370	532
216	1377	526
217	1385	521
218	1391	514
219	1397	508
220	1404	502
221	1411	495
222	1417	489
223	1423	483
224	1430	476
225	1437	470
226	1444	464
227	1452	458
228	1458	452
229	1465	445
230	1471	439
231	1477	433
232	1483	426
233	1490	420
234	1496	413
235	1503	407
236	1510	401
237	1518	395
238	1525	389
239	1532	383
240	1538	376
241	1545	370
242	1552	364
243	1558	357
244	1564	351
245	1570	344
246	1577	338
247	1582	331
248	1590	325
249	1595	319
250	1602	312
251	1609	306
252	1615	300
253	1622	293
254	1629	287
255	1636	281
256	1642	274
257	1650	268
258	1657	262
259	1663	255
260	1670	249
261	1676	243
262	1683	236
263	1691	230
264	1699	224
265	1707	218
266	1713	211
267	1719	205
268	1725	198
269	1732	192
270	1738	186
271	1744	179
272	1751	173
273	1757	166
274	1764	160
275	1770	153
276	1777	147
277	1783	141
278	1791	134
279	1797	128
280	1803	121
281	1809	115
282	1815	109
283	1820	102
284	1826	96
285	1832	89
286	1840	83
287	1846	76
288	1852	70
289	1858	64
290	1864	57
291	1871	51
292	1876	44
293	1882	38
294	1888	32
295	1895	25
296	1901	19
297	1909	12
298	1915	6
299	1921	0
